Title,Author,Publisher,ISBN,Total Copies
Le Nom du vent,Patrick Rothfuss,Editor 1,9780575081406,6
Le Chardonneret,Donna Tartt,Editor 2,9782253193768,4
L'Étranger,Albert Camus,Editor 3,9782070360420,3
Les Misérables,Victor Hugo,Editor 4,9780141393599,7
Moby Dick,Herman Melville,Editor 5,9782070401887,5
Le Parfum,Patrick Süskind,Editor 6,9782253008046,2
Cent ans de solitude,Gabriel García Márquez,Editor 7,9782020238113,8
Les Piliers de la Terre,Ken Follett,Editor 8,9782253009845,6
La Ferme des animaux,George Orwell,Editor 9,9782070368228,4
Crime et Châtiment,Fiodor Dostoïevski,Editor 10,9782070360529,5
Le Maître et Marguerite,Mikhaïl Boulgakov,Editor 11,9782253009135,3
Ne tirez pas sur l'oiseau moqueur,Harper Lee,Editor 12,9781784752637,7
Guerre et Paix,Léon Tolstoï,Editor 13,9782253003935,6
Anna Karénine,Léon Tolstoï,Editor 14,9782070409425,5
Le Portrait de Dorian Gray,Oscar Wilde,Editor 15,9780141442464,4
La Nuit des temps,René Barjavel,Editor 16,9782253001184,3
1984,George Orwell,Editor 17,9782070409340,5
Le Seigneur des anneaux,J.R.R. Tolkien,Editor 18,9782266282400,9
Harry Potter à l'école des sorciers,J.K. Rowling,Editor 19,9782070612369,6
Orgueil et Préjugés,Jane Austen,Editor 20,9780141199078,4
Le Comte de Monte-Cristo,Alexandre Dumas,Editor 21,9782070418427,7
Le Vieil Homme et la Mer,Ernest Hemingway,Editor 22,9782070360420,3
Les Hauts de Hurlevent,Emily Brontë,Editor 23,9782253004222,5
La Métamorphose,Franz Kafka,Editor 24,9782253085109,2
Le Petit Prince,Antoine de Saint-Exupéry,Editor 25,9782070612758,8
Les Cerfs-volants de Kaboul,Khaled Hosseini,Editor 26,9782266159482,4
Le Journal d'Anne Frank,Anne Frank,Editor 27,9782253006547,6
Chroniques martiennes,Ray Bradbury,Editor 28,9782221139241,3
Le Lion ; la Sorcière blanche et l'Armoire magique,C.S. Lewis,Editor 29,9782070612635,5
Des souris et des hommes,John Steinbeck,Editor 30,9782070304447,4
Le Grand Meaulnes,Alain-Fournier,Editor 31,9782080703154,3
Les Trois Mousquetaires,Alexandre Dumas,Editor 32,9782070414672,7
Le Dahlia noir,James Ellroy,Editor 33,9782264042345,2
